,Food Bank,ID,Total Population,2021 Food Insecurity %,2021 Food Insecurity #,address,city,zip_code,state,statecode,latitude,longitude,lbs_distr,program_budget,metro gdp per capita,estimated_budget,estimated_pounds_per_year
136,Foodbank of Santa Barbara County,184,726994,0.10800000000000001,78800,4554 Hollister Avenue,Santa Barbara,93110,California,CA,34.4418,-119.7647,,,51185.0,25954346.889151264,16698358.796466231
137,Redwood Empire Food Bank,185,814626,0.129,104720,3990 Brickway Blvd,Santa Rosa,95403,California,CA,38.4822,-122.7473,,,49552.0,32474633.767445497,20100233.99094419
138,"Worcester County Food Bank, Inc.",186,824772,0.102,83930,474 Boston Turnpike,Shrewsbury,1545,Massachusetts,MA,42.2848,-71.7205,,,,27244820.333813664,17371646.595373325
139,Southeast Missouri Food Bank,187,367623,0.17300000000000001,63630,600 State Highway H|PO Box 190,Sikeston,63801,Missouri,MO,36.8911,-89.58200000000001,,,,22138268.496260695,14707369.340438815
140,Feeding South Dakota,188,870638,0.11,96070,4701 N Westport Ave,Sioux Falls,57107,South Dakota,SD,43.5566,-96.8028,,,61815.0,30298689.265236966,18964963.14093515
141,Vermont Foodbank,189,624313,0.11,68780,33 Parker Road,Barre,5641,Vermont,VT,44.1945,-72.4936,,,37417.0,23433773.026477337,15383282.043045353
142,"Second Harvest Foodbank of Clark, Champaign, and Logan Counties",191,218887,0.145,31660,20 N Murray,Springfield,45503,Ohio,OH,39.9528,-83.7804,,,29087.0,14096078.23780905,10511460.776879389
143,Ozarks Food Harvest,192,1125355,0.159,179410,2810 N. Cedarbrook Ave,Springfield,65803,Missouri,MO,37.2593,-93.2912,,,29087.0,51263222.76975246,29902936.856513582
144,Second Harvest Community Food Bank,193,348562,0.138,48030,915 Douglas,St. Joseph,64505,Missouri,MO,39.7965,-94.8443,,,37597.0,18214021.76395398,12659944.454873377
145,"Second Harvest of the Big Bend, Inc.",195,520566,0.15,77960,4446 Entrepot Blvd,Tallahassee,32310,Florida,FL,30.3991,-84.3298,,,36156.0,25743041.29587321,16588112.84108963
146,Terre Haute Catholic Charities Foodbank,196,256132,0.16,40980,430 N 14th 1/2 St,Terre Haute,47807,Indiana,IN,39.471,-87.4009,,,33099.0,16440564.1060846,11734665.900819765
147,Toledo Northwestern Ohio Food Bank,197,805350,0.145,117170,24 East Woodruff Avenue,Toledo,43604,Ohio,OH,41.6614,-83.5249,,,46880.0,35606484.524959505,21734236.543847375
