Rank,Metropolitan area,"2017 GDP per capita 
(chained 2009 US-Dollars)"
188,"Kennewick-Richland, WA Metropolitan Statistical Area","40,972"
189,"Owensboro, KY Metropolitan Statistical Area","40,965"
190,"Missoula, MT Metropolitan Statistical Area","40,930"
191,"Lansing-East Lansing, MI Metropolitan Statistical Area","40,925"
192,"Lafayette-West Lafayette, IN Metropolitan Statistical Area","40,800"
193,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area","40,770"
194,"Dalton, GA Metropolitan Statistical Area","40,642"
195,"Montgomery, AL Metropolitan Statistical Area","40,596"
196,"Mobile, AL Metropolitan Statistical Area","40,592"
197,"Athens – Clarke County, GA metropolitan area","40,533"
198,"Worcester, MA-CT Metropolitan Statistical Area","40,529"
199,"Savannah, GA Metropolitan Statistical Area","40,388"
200,"Vallejo-Fairfield, CA Metropolitan Statistical Area","40,000"
201,"Battle Creek, MI Metropolitan Statistical Area","39,920"
202,"Colorado Springs, CO Metropolitan Statistical Area","39,905"
203,"Waco, TX Metropolitan Statistical Area","39,731"
204,"Rapid City, SD Metropolitan Statistical Area","39,718"
205,"Abilene, TX Metropolitan Statistical Area","39,648"
206,"Topeka, KS Metropolitan Statistical Area","39,483"
207,"Lafayette, LA Metropolitan Statistical Area","39,233"
208,"Reading, PA Metropolitan Statistical Area","39,188"
209,"Rockford, IL Metropolitan Statistical Area","39,123"
210,"San Angelo, TX metropolitan statistical area","39,107"
211,"Gainesville, FL Metropolitan Statistical Area","39,031"
212,"Spokane-Spokane Valley, WA Metropolitan Statistical Area","38,989"
213,"Monroe, LA Metropolitan Statistical Area","38,867"
214,"Fayetteville, NC Metropolitan Statistical Area","38,772"
215,"Cape Girardeau, MO-IL Metropolitan Statistical Area","38,601"
216,"Niles-Benton Harbor, MI Metropolitan Statistical Area","38,584"
217,"Williamsport, PA Metropolitan Statistical Area","38,526"
218,"Wenatchee, WA metropolitan statistical area","38,514"
219,"Greenville, NC Metropolitan Statistical Area","38,482"
220,"Walla Walla, WA Metropolitan Statistical Area","38,392"
221,"Columbus, GA-AL Metropolitan Statistical Area","38,168"
222,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area","38,142"
223,"Jacksonville, NC metropolitan Statistical Area","38,087"
224,"Springfield, MA Metropolitan Statistical Area","38,075"
225,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","38,007"
226,"Altoona, PA metropolitan area","37,992"
227,"Asheville, NC metropolitan area","37,990"
228,"Lubbock, TX Metropolitan Statistical Area","37,977"
229,"Olympia-Tumwater, WA Metropolitan Statistical Area","37,966"
230,"York-Hanover, PA Metropolitan Statistical Area","37,887"
231,"Houma-Thibodaux, LA Metropolitan Statistical Area","37,867"
232,"Bloomington, IN Metropolitan Statistical Area","37,866"
233,"Winston-Salem, NC Metropolitan Statistical Area","37,834"
234,"Bakersfield, CA Metropolitan Statistical Area","37,614"
